kode,navn
201,HIGER
202,IF8
203,DEMARKO SPECIAL TRAILERS
204,STOKOTA
205,BIG DOG
206,CRESCI RIMORCHI
207,PARAGAN
208,LIEBHERR
209,VM TRAILER
210,MUSTANG
211,KONAR
212,MCM
213,RAGNAR VALSSON
214,GREAT WALL MOTOR COMPANY LIM
215,FORT
216,HMK BILCON
217,KRAKER
218,TUK TUK FACTORY
219,METBOX
220,POLETTA
221,LEGRAS
222,RUSSO-BALT
223,SPITZER
224,CLEAN MOTION AB
225,UMESLAP
226,WILSON
227,SCREEN-LED
228,MBK
229,EDER
230,MUNSTERLAND
231,LMC
232,BEYERLAND
233,NUGENT
234,TILHENGERNOR AS
235,ZASLAW
236,CUBY
237,ULTRA CYCELS
238,REDNECK ENGINERING
239,BOURGET
240,KURIER
241,CONTEMPORARY CLASSIC
242,ALF
243,FACTORY FIVE
244,VANS BARBOT
245,BOBCAT
246,BILCON
247,HEINEMANN
248,HOLICAMP
249,FLUID
250,ABBEY
251,AMERICAN IRONHORSE
252,EXISS
253,MANE
254,HYLANDER
255,TRITON
256,DS
257,BOND
258,POESSL
259,ALPINA
260,BELLA
261,TUK TUK FORWARDER
262,WERNER GMBH
263,V1 SPORTS
264,SAILBOAT TRAILERS
265,*SAILBOAT DELIVERIES LTD
266,CN AGRO
267,GOPO
268,HANNIGAN MOTORSPORTS
269,CORTES
270,DAMM
271,TAVEX
272,BLOMENRØHR
273,VENI TRAILERS
274,TIJHOF
275,ROADMASTER
276,CAV
277,ADIVA
278,AURORA
279,DIESELLA
280,DAPA
281,EURO
282,VELOREX
283,BUGATTI
284,SCHURING
285,PUR SANG
286,TECNOKAR TRAILERS
287,KRASSORT
288,FLAMINGO TRAILERS
289,TSCHU
290,DUUN-SMIA
291,UNIQUE MOTORS
292,TURBHO
293,SKIBICKI
294,LESMAR
295,MI
296,FOLDTRAILER
297,SAFARI
298,PEGA
299,TRAILER TECHNICAL SOLUTIONS
300,FLIPPER
301,SUN
302,AGM
303,BONUMTECH
304,AUTO-TECH
305,DAMCO
306,BUS-PRESTIGE
307,NOC AGRO
308,PHV
309,GOOK-VAGNAR
310,*FORSS-PARATOR
311,FORSS-PARATOR
312,FORSS
313,ATLE HAVIG
314,DEBON
315,ZIPP
316,KSR MOTO
317,CANNONDALE
318,VS-MONT
319,PALOMINO
320,ADRIA
321,BECK
322,LIDER
323,KENWORTH
324,ST BÅTTRAILER
325,BERGER
326,SLINGSHOT
327,METALTECH
328,BIG BEAR CHOPPER
329,EBLADET
330,FOSSER
331,EVO
332,FEISHEN
333,OBERAIGNER AUTOMOTIVE GMBH
334,"TAIHENG, RELAX RIDE"
335,ABS TRENCHLESS
336,SOREL
337,CAJERO
338,APPLESTONE
339,LTI
340,FRUEHAUF
341,GOUPIL
342,MINAUTO
343,VIPER
344,WEIMER
345,ROHR
346,STOPEXIM
347,FARO
348,BENIMAR
349,RICKMAN
350,CI EUROPA
351,OVER
352,FLYER
353,OVERLAND
354,SOMMER
355,EM TECH
356,TONI MAURER
357,TUFF MAC TRAILERS
358,RUKU
359,UBERSCOOT
360,AUTOMOBILFABRIKKEN
361,STAL-HENGEREN
362,SATURN
363,JJ-TRAILER
364,DREAMER
365,LHY
366,KUBA
367,MYLANE B.V.
368,DIAMANT
369,TITAN
370,KLETT
371,REDWOOD GLOBAL LTD
372,BUCKER
373,MARMON
374,LIHNELL VAGN AB
375,TSR
376,GFOLLNER
377,PAXSTER
378,ROM B.V.
379,MOTO MORINI
380,BERGET
381,KONAG
382,*PALFINGER PLATFORMS GMBH
383,ESCAPADE
384,NV
385,TRIAS
386,BRASIER
387,SCHWERINER
388,ENERGICA
389,MACUGA
390,B. GJELLUM
391,RIGA
392,SMÅLANDIA
393,RUF
394,EIFELLAND
395,KOMPACT KAMP
396,WILHELM SAURE
397,TAYLORS TRAILERS
398,MARTINO
399,UNU
400,BLUEBIRD
401,FARMA
402,LORA
403,WESTERN
404,FREIGHTLINER
405,FIAT DUCATO/GLOBE-TRAVELLER
406,MGB STARBRIDGE
407,MMD MARVIN MACDAVI DESIGN
408,YABO
409,VOSHOD
410,HEBE
411,AUTOMOBILI LAMBORGHINI S.P.A
412,IIC
413,PLA
414,JINYI MOTOR
415,ZIMMER
416,MILLER
417,MOBILVETTA
418,RIMOR
419,ESTEREL
420,HARRYDA
421,HAKPOL
422,NAUTILUS
423,PHOENIX
424,ALUTRAILER
425,MONDIAL
426,SELECTIVE TRAILERS
427,WEEKEND
428,EMOSS
429,MAURER
430,HMF
431,CARRO
432,TWINS
433,WNP-SUSKI
434,EPINO
435,STIM
436,EUROTANK
437,KIRCHHOFF ECOTEC GMBH
438,LEA FRANCIS
439,RALEIGH
440,BOLNES
441,LANDER
442,VGA
443,GAMO
444,APLAN
445,GEWE
446,MARTZ
447,BITTER
448,LOK
449,SIGMA-TRAILER
450,*ILSBO
451,SORLING- ILSBO
452,HØGLUND
453,BAGELA
454,AUBURN
455,EDWARD DAVIES
456,ROLFO
457,BUSHTEC
458,FOODSTATION SWEDEN
459,NOOMA
460,KNAUS
461,*NIEWADOW
462,BRAVIA
463,NORTH GRADE
464,CHAMPION
465,NIU
466,SCHRADER
467,TOTH ES FIAI
468,REPLIKA KJØRETØY
469,SUNRA
470,ILSENG
471,SELVBYGG
472,WINGAMM
473,ALTAS
474,GIANT
475,WOODFORD TRAILERS
476,AC MIDI
477,GOLDHOFER
478,SHADOW TRAILERS
479,LOVOL
480,*ISTRAIL
481,ISTRAIL
482,ISACHSEN
483,GENESIS
484,VARMLANDSVAGNEN
485,LINDA
486,EUROVAGON
487,CSEPEL
488,DUB BOX
489,VARIANT A/S
490,BRENDERUP
491,EASYLINE
492,DALERY
493,MASTER TRAILER
494,KØGEL
495,PRONAR
496,BRENTEX-TRAILER
497,HFR.
498,THOMSEN
499,YTTEROCKE
500,KJELLMANS'
501,THIEL
502,JPM
503,UNIA
504,EXIMO
505,NORGESHENGERN
506,BATESON
507,STEMA
508,MEREDITH AND EYRE
509,MCCAULEY
510,CAMPTOURIST
511,MW-SLEPET
512,REYNOLDS BOUGHTON LTD
513,BIL OG HENGERSERVICE
514,ARCAS TRAILER
515,IRONWORKS MOTORCYCLES
516,HAKHOL
517,STROMER
518,CARLTON
519,JKS PRODUCTS
520,BR. OLSENS VOGNFABRIKK
521,JUTUL
522,LATRUS
523,FAT EWO
524,WATERKRACHT
525,MERCEDES SPRINTER/BUS FACTOR
526,QUADRO
527,KUFER
528,KALKHOFF
529,LAUMETRIS
530,MARINOX
531,TA-NO
532,SATELLITE
533,MOETEFINDT
534,LASALLE
535,SCHMIDT-FAHRZEUGBAU
536,ANAIG
537,ROMER
538,*HT-VERKEN
539,WOKADER
540,BURESLAP
541,VLEMMIX
542,KMZ
543,NGM
544,VIDFARE
545,HSS
546,OBE AGRI
547,DIBO
548,ISOLI
549,ABI ACE
550,NORDLAND
551,LOHR
552,MOTO S.P.A.
553,BUSCONCEPT
554,RUMI
555,YONGHENG
556,KLOCKNER MOTORRADER
557,CI
558,IGLAND
559,MOSTARD YVONNE
560,*OHNA MAUR
561,OHNA MAUR
562,OHNA
563,MAUR BILPÅBYGG
564,FRACHT
565,SAN-CAR
566,BIOD
567,SUN ROLLER
568,HMT FAHRZEUGTECHNIK GMBH
569,TOMPLAN
570,CABBY
571,SYRIUSZ
572,GREW
573,ROBUS
574,DØLEN
575,HUFFERMANN
576,AWARD
577,NEOPLAN
578,RED RIVER
579,TOWMASTER
580,CAMP-LET
581,FSO-WARSZAWA
582,FUNTEAR
583,ALPINE
584,SLANE
585,D*SIGN
586,JUNCAR OY
587,LAMAR
588,SMV
589,FUEL PROOF
590,MOELVEN
591,FN HERSTAL
592,IMP.SPES.KJØRETØY
593,TRAMP TRAIL
594,KAMATO
595,REMOLCASECA
596,TE SLEP
597,JUNGE FAHRZEUGBAU GMBH
598,LE VOYAGEUR
599,VAK
600,BR. MOI
601,DUTCH TRAILERS
602,TEREX
603,DENNISON
604,DEMAG
605,PIERCE ARROW
606,TALSON
607,DUESENBERG
608,GRUNDMEIER
609,BMF
610,OLRICH
611,SEAN NUGENT ENGINEERING LTD
612,METAWELD
613,BAASTRUP
614,INDEPENDENCE
615,RIONED
616,MOBYLETTE
617,PF TRAILERS
618,OP HØGLUNDS
619,STAS
620,ORKEL
621,ORKEL FOLDTRAILER
622,GIGANT
623,STELLA
624,WEIJER
625,ROSSKNECHT
626,SAXAS NUTZFAHRZEUGE WERDAU A
627,VMOTO-SOCO
628,BYD
629,ES-GE
630,NORSK FLYINDUSTRI
631,KRAMPE
632,DENNIS EAGLE / VPI
633,MONET & GOYON
634,C3
635,FORZAB TRAILER AB
636,ZNYHUG
637,STMAX
638,RPS
639,NOVA MOTORS
640,CAVALIER
641,E COOL BY ALPHA MOBIL
642,TROXUS
643,VBI
644,LIPE
645,SYRENA
646,HOFMANNS KAROSSERI AB
647,EGYEDI
648,BETANET
649,KLS
650,COLCHESTER
651,NOBLE
652,M1 ENGINEERING LIMITED
653,TREK
654,ROYAL ALLOY
655,MAX TRAILER
656,MASU
657,WIDPOL
658,POLYNORM
659,POWERSTEEL OU
660,*BRIAB
661,BRIAB
662,RICHARDSON
663,ERSKINE
664,ARORA
665,KAYO
666,BALBI
667,FLIEGL
668,EVANS
669,BINGHAM TRAILERS LIMITED
670,PRESTBY
671,BORCO-HOEHNS
672,WAGS MOTORCYCLE TRAILERS
673,TRAILERS-MOTO
674,DINKEL
675,DINO
676,BULLIT
677,ALKORO
678,AVENTO
679,LEVC
680,RYDHS
681,SLAPKARRA H ANDERSSON
682,KINGDAY
683,SUPER SOCO
684,DE ANGELIS
685,KRAMER
686,MCD
687,OMAVALMISTE
688,MUSTAD
689,WARWICK TRAILERS
690,KIP
691,AHRENS-FOX
692,VG TRAILER
693,DT
694,REBEL
695,MUSTANG-TRAILERS
696,LINDDANA A/S
697,ARSLAN
698,VF
699,FEBA
700,PARATOR
701,ENGELBREKT
702,HUISKAMP CARROSSERIEFABRIEK
703,DOOHAN
704,PAV
705,LUQI
706,KRONOS
707,BATECK TRAILERS
708,AYALA
709,ARCTIC TRUCKS
710,SKENNINGE-VERKEN
711,PAVELLI
712,CHECKER
713,PLS
714,JALON
715,HIGHROADER
716,VOCH
717,FRISIAN MOTORS
718,ETRICKS
719,MODEN
720,SMW
721,JAC
722,ESREF KAROSER
723,MOHEDA
724,CLEVELAND
725,ZETHS
726,REFORM
727,BRIDGESTONE
728,MADEMOTO
729,FLEUR DE LYS AUTOMOBILE
730,*CI SPRITE
731,CI SPRITE
732,SPRITE
733,LIGHT BEE
734,TOURNE MOBIL
735,AUWARTER
736,DE TOMASO
737,GROVE - MOBILKRAN
738,FMS
739,ROCCA
740,STRUVER
741,BRODERNA FRANSSON
742,PASIZGATAVOTA
743,ROKA-WERK GMBH
744,EVOKE
745,PATIKIMA LINIJA
746,UNIPLAST SERBIA
747,MAXUS
748,MULTIHOG
749,IBG HYDRO-TECH
750,K.SANDNES TILHENGERFABRIKK
751,NEMETH
752,IVECO/IGLOOCAR
753,TONG YANG MOOLSAN
754,HAULMARK
755,*DAVIDO
756,STAFETT
757,DAVINO
758,TECHNOIMPIANTI APM SRL
759,SDC TRAILERS LTD
760,SVELA
761,NOUN ELECTRIC
762,SLURRYKAT
763,BUNK
764,TIRKON
765,VIVERRA
766,GLOBE-TRAVELLER
767,EVOLITE
768,PLATAL MOBILSYSTEME GMBH
769,AGT
770,COMBI CAMP
771,TINBOT
772,MOWI
773,FEBER
774,QUADRO VEHICLES
780,POLAR
790,TREDAL
798,MAICO
800,TRIGANO
801,STERCKEMAN
802,CHAUSSON
810,DERVO
820,WECKMANIN KON OY
821,WECKMAN
830,WIDERØE
840,WILLERBY
850,*CI WILK
851,CI WILK
852,WILK
860,WUCO
870,DETHLEFFS
880,VOCATOUR
890,ØVERAASEN
900,ECCLES
910,BJØLSETH
920,THOMSON
930,MJØRUD
940,ACE
950,HEGGESETH
960,BEMAS
970,ELSETH
980,DANTRA
990,DORMOBILE
1000,BARTON HOVER
1001,EZ LOADER
1002,SUN LIVING
1003,BZTDIA
1004,BOECKMANN
1005,VEKEN
1006,XX-TRAIL
1007,EHEBAUER FAHRZEUGBAU
1008,ALVIS
1009,G. KUHR FAHRZEUG
1010,EURA CARAVAN
1011,GENERIC
1012,PURE MOBILITY
1013,PONGRATZ
1014,CHEVAL LIBERTE
1015,HEKU
1016,LAUGE JENSEN
1017,CARPIMOTOR
1018,LOHAS
1019,HANWAY
1020,HOBBY
1021,FELDBINDER
1022,HARBECK
1023,JET-LOADER
1024,LARS1
1025,E-MAX
1026,GRALLE
1027,THULE
1028,MOTOLUG
1029,BANTAM
1030,MONZA
1031,ARGO
1032,WM MEYER
1033,TAZZARI
1034,CHRIST
1035,BRIAN JAMES TRAILERS
1036,HAMMAR
1037,KAINUO
1038,WT-METALL
1039,BANTAM
1040,AEC
1041,RICHARD WESTERN
1042,NK BIKE
1043,TONAR
1044,INTHO
1045,LMR
1046,SIGMA DYNAMOMETER
1047,FROMENT
1048,COMARTH
1049,TINTURI
1050,FENDT
1051,JIALING
1052,JAXIN
1053,ATEC
1054,MULDI
1055,KOENIGSEGG
1056,H&W
1057,PRIMBOX SP.ZO.O
1058,BAILEY
1059,KAFO
1060,TEC
1061,RYDWAN
1062,GG
1063,SAXON
1064,PØSSL
1065,HECO
1066,"CLUB CAR,LLC"
1067,BLYSS
1068,UNSINN
1069,SAMI
1070,VEB
1071,MAC
1072,SYSTEM TRAILER
1073,PG-BIKES
1074,HOOPER
1075,BORO
1076,WESTFIELD
1077,NICOLAS
1078,FIBER TRAIL
1079,JOKO
1080,AKTIV
1081,GAZ
1082,R.H.C.
1083,HENGSRØD SMIE
1084,SPY RACING
1085,BENDA
1086,TAOTAO
1087,CARETTA
1088,SEA.
1089,BERGMANN
1090,CORSAR
1091,PETERBILT
1092,CMT CHOJNICE
1093,ELBO
1094,SAHLINS SWEDEN
1095,KARAVAN TRAILERS
1096,MOSBLIKK
1097,EURO LINER
1098,LINDE CRYO AB
1099,EBECO
1100,ALFA ROMEO
1101,MULDY
1102,HENRA
1103,MGB DELIVERY
1104,TANTE PAULA
1105,FA FA ME
1106,NEPTUN
1107,TUNHOVD MEKANISKE AS
1108,KRAMER WERKE GMBH
1109,ERIDER
1110,BUSTER
1111,K-VAGNEN
1112,KERENSO
1113,WEINSBERG
1114,CHIEFTAIN
1115,ANSSEMS
1116,FENIAN
1117,KOCH
1118,SM-SLEPET
1119,LINTEX
1120,RACLET
1121,KLC
1122,JST
1123,ECKART HUMME
1124,ECIM
1125,AMT TRAILER
1126,SYMSON
1127,PORTEQUIP LTD.
1128,BARBOT
1129,AZURE DYNAMICS
1130,MUULI
1131,KALF
1132,SWIDNIK TRADE
1133,RELIANT
1134,LECSOR
1135,AKSOYLY
1136,VEZEKO
1137,VM TARM
1138,DINAPOLIS
1139,AMERIDAC
1140,TYSSE
1141,GLOWACZ
1142,EUROWAGON
1143,DOOLEY
1144,HULCO
1145,TPV PRIKOLICE
1146,NOR SLEP
1147,REGGIANA RIMORCHI
1148,FLIEGL FAHRZEUGBAU
1149,LANGENDORF
1150,JOMI
1151,WIELTON
1152,THIRD-ELEMENT-GMBH.
1153,TRAILERGRUPPEN
1154,WURZ
1155,BROSHUIS
1156,MULTIVA
1157,LEVANTE
1158,SCOTT
1159,JYFA
1160,PEDERSBORG
1161,ROSENBAUER
1162,ARCO
1163,BARTHAU
1164,FAYMONVILLE
1165,MEUSBURGER
1166,BELL
1167,CRYOLOR
1168,BURG
1169,CALVERA
1170,ASTON MARTIN
1171,MØSLEIN
1172,LMR-AZENE
1173,PREDATOR
1174,DNEPR
1175,CRAVEN TASKER
1176,ERDOGEP
1177,OMSP MACOLA
1178,XINYANG
1179,XY
1180,GISEBO
1181,OBERMAIER
1182,MULLER OLDENBURG
1183,SPINDELBERGER
1184,BUDDY
1185,NANFANG
1186,ESTRIMA
1187,SAND TRAILERS
1188,M&V
1189,JOTHA
1190,GAUPEN
1191,REGAL
1192,MARTIN MOTORS
1193,RENDERS
1194,NOOTEBOOM TRAILERS B.V.
1195,HOBUR
1196,REGARD
1197,FENDT CARAVAN
1198,E CAR
1199,FISKER
1200,BERGLY
1201,THEAULT
1202,EKSJØVAGNEN
1203,TRAILER ENGINEERING
1204,HAPERT
1205,MORELO
1206,WIOLA
1207,NONNENMACHER
1208,PILATO S.P.A
1209,IRISBUS
1210,KIPA
1211,DELOREAN
1212,MUELLER-MITTELTAL
1213,EQUI-TREK
1214,YONGQIANG VEHICLES
1215,HERBST
1216,CO
1217,UMEGA
1218,FAVORIT
1219,ACBUS
1220,MO-PRO
1221,KELLFRI
1222,T-AX-O TRAILER
1223,FBL FAHRZEUGBAU LADEBURG
1224,SAXXS
1225,WEBASTO HUNGARIA
1226,BAOYA
1227,WITTEVEEN
1228,SFM
1229,WARENDORFER
1230,AUDI
1231,GS MEPPEL
1232,ITINEO
1233,STRONGA
1234,CHANG JIANG
1235,GLA-WEL
1236,STEWART
1237,GOVECS
1238,HOLTKAMPER
1239,SAM
1240,FJALLVAGNEN
1241,SELANDIA
1242,SBS TRAILERS
1243,XINRI
1244,CATERPILLAR
1245,MCLAREN
1246,JUNAK
1247,PILKA
1248,KOMATSU
1249,DAEDONG
1250,AUSTIN
1251,VAN HOOL
1252,BINZ
1253,DOOSAN
1254,OVOX
1255,SMYTH TRAILERS
1256,ZERO MOTORCYCLES
1257,COFISA
1258,KYBURZ
1259,IM-SLAPET
1260,HALVORSEN & DAMM
1261,EDUARD
1262,CYMERMAN
1263,DOLL
1264,JMR TRADING B.V
1265,LAFINTO
1266,MIA
1267,*BELGARDA
1268,OKAI
1269,VARIO
1270,ÅTM
1271,HIRTH
1272,BW
1273,MAZZOTTI
1274,SOLUS
1275,SOLEX
1276,FOREST RIVER
1277,LIGIER PROFESSIONAL
1278,JAGUAR LAND ROVER
1279,JAGUAR CARS
1280,SCHWEIKERT
1281,MECANOREM
1282,R.M. TRAILERS
1283,NORDIC TRAILER
1290,DRENGEN
1300,AUTOBIANCHI
1310,CHATEAU
1320,BYGLAND
1330,PETMAS-WECKMANIN
1340,AVELING BARFORD
1350,BENTLEY
1360,CONWAY
1370,RYSKY
1380,BARKAS
1390,SUNSEEKER LTD
1400,BMW
1410,KABE
1420,FOSS-EIK
1430,BEDFORD
1440,T.M. TRAILER
1450,BORGWARD
1460,BMC
1470,BOMBARDIER
1471,SKI-DOO
1480,JF
1490,KARASJOK
1500,BUICK
1510,KMA
1520,TRAILER-BYGG
1530,NTM
1540,BUSSING
1550,CADILLAC
1560,NARKO
1561,KNAPEN
1570,BYREMO
1580,NAVTEK
1590,PRIMOPLEX
1600,FOBO
1610,VEGA VEKT
1620,BUGGE
1630,SPOCA
1640,GYRO
1650,CHEVROLET
1660,BURSTNER
1670,TRANESLAPET
1680,FOGELSTA
1690,HT
1700,CHRYSLER
1701,EAGLE
1710,PREDOM
1720,MOTRAIL
1730,BREDØLS
1740,MANDAL
1750,CITROEN
1760,VARIANT
1770,MATKAAJA
1780,VA
1790,COMMER
1800,UM
1810,KRONE
1820,DAN TRAILERS
1830,SAVSJØ
1840,BJONE
1850,DAF
1860,ELDON TRAILER
1870,HOME-CAR
1890,EXELL
1900,DAIMLER
1911,VUORI
1912,PIRILA
1920,ILR
1930,ALFE S.L.
1940,TIM
1950,MAX
1960,ERIBA
1970,FRANKIA
1980,VANG
1990,RC
2000,*NISSAN
2001,NISSAN
2002,DATSUN
2010,RONIDAN
2020,CABRO
2030,DAIHATSU
2040,MULLERUP
2050,JECOTE
2060,RANDERS
2070,CABANE
2080,KA-MEK
2090,B.S.G. COMBI
2100,NOKKA
2110,WEIPPERT
2120,LØØVESLAPET
2130,ARKA R. SIMENSEN A/S
2131,ATKA R. SIMENSEN A/S
2140,DIGUE SARL
2150,DE SOTO
2160,AMECO
2170,KYLLINGEKARRAN
2180,ZORZI
2190,DIAMOND
2200,*DKW
2201,DKW
2202,AUTO UNION
2210,LBP
2220,RAPIDO
2230,BRANNAN
2240,PE-TRA
2250,DODGE
2260,ELDDIS
2270,SERIEMONTASJE A/S
2280,LOKARI
2290,SANDNES GJERDESERVICE
2300,EMW
2310,PACTON
2320,ETNA (ESM)
2330,AGROMET
2340,EUCLID
2350,JUNKKARI
2351,SIMULTA
2360,POZNANSKA
2370,FK
2380,FARGO
2390,TERRA
2400,FERRARI
2410,HØLAND TRAILER
2420,ZESAM
2430,A.P.E.L
2440,FEDERAL
2450,FIAT
2460,FJELDHUS BRUK
2470,FLEETWOOD
2480,ERDE
2490,CHESS
2500,*FORD
2510,JAXAL
2520,KAUTEC
2530,TIAB
2540,CARRY
2560,REKO TRAILER
2570,ERKA
2580,TK TRAILERN
2590,ATLAS
2600,FORD
2601,FORD-CNG-TECHNIK
2610,WILCO
2620,IFOR WILLIAMS
2630,CHEREAU
2640,BENALU
2660,CHALLENGER
2670,STAR TRAILER
2690,FWD
2700,GRUAU
2710,NIEWIADOW
2720,BK-HENGEREN
2730,SARIS
2740,GMC
2750,*GOGGOMOBIL
2751,GOGGOMOBIL
2752,GLAS
2760,BITI
2770,ADI-TEK
2780,EKERI
2790,TYLLIS
2800,GOLIATH
2810,LIBERTY
2820,TAMSALU
2830,METSJØ
2840,GEOTEX
2850,GUTBROD
2860,TIKI TREILER
2861,TIKI TILHENGER
2870,COMANCHE
2880,EZS
2890,HANOMAG-HENSCHEL
2900,HANSA
2910,SQUIRE
2920,JÆRBO
2930,JYKI
2940,SVEHOLT
2950,AGADOS
2960,KEL-BERG
2970,SAVSJØSLAPET
2980,ETEBRA
2990,TOKVAM
2995,TAM
3000,HENRY J.
3010,EBRO
3020,FLEX TRAILER
3030,MR MOBILE
3040,TE-HO
3050,HILLMAN
3060,HINO
3070,CARNEHL
3080,INTERCONSULT
3081,SITE
3090,HUMBAUR
3100,TUME
3110,RESPO
3120,KIMADAN
3125,PALMS
3130,BIGAB
3140,SCHMITZ CARGOBULL
3145,SORELPOL
3150,HORCH
3160,KAUPE
3165,INDESPENSION
3170,BLOMERT
3175,BRENDON LTD
3180,BALA AGRI
3185,VEST-TRAIL
3190,BÅLSTA-SLAPET
3195,WESTERN FABRICATION
3196,KANE
3200,MARO
3210,DELTA
3220,HIPPE HENGER`N
3230,IZH
3240,ISUZU
3250,HUDSON
3260,HEGGLUNDS
3270,SETRA
3280,ARO
3290,DACIA
3300,HUMBER
3310,IVECO
3320,SCHULZ
3330,DAEWOO
3331,GM DAEWOO
3332,CHEVROLET DAEWOO
3333,HOLDEN
3340,KORANDO
3350,*WARTBURG
3351,WARTBURG
3352,TRABANT
3353,IFA
3360,ASQUITH
3370,LØWER
3380,INTERNATIONAL
3390,HYUNDAI
3400,JAGUAR
3410,JALTA
3420,KEWET
3430,DAB
3440,SSANGYONG
3450,KIA
3460,PIVCO
3470,TVR
3480,SWIFT
3490,TATA
3500,JENSEN
3510,JEEP
3520,HYMER
3521,NIESMANN BISCHOFF
3530,CATERHAM
3540,MOXY
3550,JOWETT
3560,THINK
3570,TRI-STAR
3580,GALLOPER
3590,MICRO COMPACT CAR
3600,KAISER
3610,REWACO
3620,KALMAR
3630,KARRIER
3640,QUATTRO
3650,ROTEC
3660,KOCKUM
3670,TRUCKMASTER
3680,CARAVELAIR
3690,MINI
3700,LANCIA
3710,ELNAGH
3720,LETOURNEAU-WESTINGHOUSE
3730,LELY
3740,LEYLAND
3750,LINCOLN
3760,LISSETT
3770,MACO
3780,MARDON TRAILER
3790,MKP
3800,LLOYD
3810,LOTUS
3820,LYNTON
3830,MACK
3831,JOINT
3840,MAGIRUS DEUTZ
3850,PILOTE
